DR_NO,DATE OCC,AREA,AREA NAME,Rpt Dist No,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc
10304468,8/1/2020,3,Southwest,377,624,BATTERY - SIMPLE ASSAULT,36,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
190101086,1/1/2020,1,Central,163,624,BATTERY - SIMPLE ASSAULT,25,M,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON
200100501,1/1/2020,1,Central,163,121,"RAPE, FORCIBLE",25,F,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),500,UNKNOWN WEAPON/OTHER WEAPON
200100509,4/1/2020,1,Central,192,330,BURGLARY FROM VEHICLE,29,M,A,101,STREET,306,ROCK/THROWN OBJECT
200100510,5/1/2020,1,Central,111,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,35,M,O,108,PARKING LOT,511,VERBAL THREAT
200100520,8/1/2020,1,Central,128,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),24,F,H,252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",600,NO WEAPON
211916029,11.30.2020,19,Mission,1916,626,INTIMATE PARTNER - SIMPLE ASSAULT,24,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
201116159,11.28.2020,11,Northeast,1124,626,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200506268,02.22.2020,5,Harbor,511,440,THEFT PLAIN - PETTY ($950 & UNDER),29,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200100535,01.14.2020,1,Central,152,210,ROBBERY,66,M,B,103,ALLEY,204,FOLDING KNIFE
200100546,01.15.2020,1,Central,166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",62,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON
200100552,01.19.2020,1,Central,111,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",71,M,W,148,PUBLIC RESTROOM/OUTSIDE*,500,UNKNOWN WEAPON/OTHER WEAPON
200815333,10/15/2020 12:00:00 AM,8,West LA,814,624,BATTERY - SIMPLE ASSAULT,50,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200100556,01/20/2020 12:00:00 AM,1,Central,141,121,"RAPE, FORCIBLE",19,F,B,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
201111990,07/29/2020 12:00:00 AM,11,Northeast,1124,626,INTIMATE PARTNER - SIMPLE ASSAULT,33,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200100568,01/27/2020 12:00:00 AM,1,Central,166,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,69,M,B,801,MTA BUS,500,UNKNOWN WEAPON/OTHER WEAPON
200914052,08/27/2020 12:00:00 AM,9,Van Nuys,935,624,BATTERY - SIMPLE ASSAULT,57,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200810920,06/20/2020 12:00:00 AM,8,West LA,841,624,BATTERY - SIMPLE ASSAULT,78,F,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200100578,01/30/2020 12:00:00 AM,1,Central,163,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",52,M,H,401,MINI-MART,302,BLUNT INSTRUMENT
200100583,4/2/2020,1,Central,146,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",38,F,H,203,OTHER BUSINESS,212,BOTTLE
200218458,11/12/2020,2,Rampart,233,761,BRANDISH WEAPON,34,M,W,108,PARKING LOT,109,SEMI-AUTOMATIC PISTOL
201225288,11/26/2020 12:00:00 AM,12,77th Street,1257,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,50,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",304,CLUB/BAT
200407198,03/22/2020 12:00:00 AM,4,Hollenbeck,466,626,INTIMATE PARTNER - SIMPLE ASSAULT,27,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104020,1/1/2020,1,Central,153,350,"THEFT, PERSON",44,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104027,1/1/2020,1,Central,182,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,57,M,O,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104033,1/1/2020,1,Central,143,626,INTIMATE PARTNER - SIMPLE ASSAULT,25,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200811087,06/23/2020 12:00:00 AM,8,West LA,898,624,BATTERY - SIMPLE ASSAULT,24,M,W,514,GROUP HOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104036,1/1/2020,1,Central,119,860,BATTERY WITH SEXUAL CONTACT,18,F,B,900,MTA - RED LINE - UNION STATION,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104038,1/1/2020,1,Central,157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",57,M,B,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON
200321450,9/12/2020,3,Southwest,333,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,54,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104054,1/1/2020,1,Central,135,624,BATTERY - SIMPLE ASSAULT,28,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104057,1/1/2020,1,Central,176,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",43,M,B,101,STREET,218,OTHER CUTTING INSTRUMENT
200104058,1/1/2020,1,Central,135,624,BATTERY - SIMPLE ASSAULT,46,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104060,1/1/2020,1,Central,153,624,BATTERY - SIMPLE ASSAULT,56,F,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104082,2/1/2020,1,Central,153,624,BATTERY - SIMPLE ASSAULT,60,M,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104098,2/1/2020,1,Central,154,210,ROBBERY,61,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,HAND GUN
200104101,2/1/2020,1,Central,131,626,INTIMATE PARTNER - SIMPLE ASSAULT,38,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104118,2/1/2020,1,Central,159,624,BATTERY - SIMPLE ASSAULT,36,F,B,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104129,2/1/2020,1,Central,124,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",60,F,W,101,STREET,515,PHYSICAL PRESENCE
210121427,10/18/2020 12:00:00 AM,1,Central,121,860,BATTERY WITH SEXUAL CONTACT,24,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104136,2/1/2020,1,Central,158,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,M,B,101,STREET,307,VEHICLE
201815332,10/8/2020,18,Southeast,1822,626,INTIMATE PARTNER - SIMPLE ASSAULT,50,F,B,505,MOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104138,2/1/2020,1,Central,111,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,M,H,203,OTHER BUSINESS,216,SCISSORS
200104140,2/1/2020,1,Central,192,626,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,B,701,HOSPITAL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104141,2/1/2020,1,Central,162,624,BATTERY - SIMPLE ASSAULT,45,M,O,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104150,2/1/2020,1,Central,158,624,BATTERY - SIMPLE ASSAULT,62,M,B,102,SIDEWALK,308,STICK
211304982,07/24/2020 12:00:00 AM,13,Newton,1381,121,"RAPE, FORCIBLE",15,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104209,3/1/2020,1,Central,152,624,BATTERY - SIMPLE ASSAULT,24,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104221,3/1/2020,1,Central,166,761,BRANDISH WEAPON,51,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",215,MACHETE
200104228,3/1/2020,1,Central,159,210,ROBBERY,28,M,H,101,STREET,102,HAND GUN
200104231,3/1/2020,1,Central,148,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",58,M,H,101,STREET,204,FOLDING KNIFE
200104233,3/1/2020,1,Central,145,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",57,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",600,NO WEAPON
200104234,3/1/2020,1,Central,135,440,THEFT PLAIN - PETTY ($950 & UNDER),27,F,H,210,RESTAURANT/FAST FOOD,600,NO WEAPON
200104235,3/1/2020,1,Central,159,330,BURGLARY FROM VEHICLE,30,F,H,101,STREET,600,NO WEAPON
200104236,3/1/2020,1,Central,161,330,BURGLARY FROM VEHICLE,30,M,B,101,STREET,600,NO WEAPON
200104237,4/1/2020,1,Central,192,330,BURGLARY FROM VEHICLE,31,M,B,101,STREET,600,NO WEAPON
200409682,10/6/2020,4,Hollenbeck,412,210,ROBBERY,24,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200706211,02/16/2020 12:00:00 AM,7,Wilshire,734,624,BATTERY - SIMPLE ASSAULT,29,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
210704711,12/24/2020 12:00:00 AM,7,Wilshire,782,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),47,F,A,101,STREET,600,NO WEAPON
200104244,4/1/2020,1,Central,156,624,BATTERY - SIMPLE ASSAULT,48,F,B,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON
200815521,09/18/2020 12:00:00 AM,8,West LA,852,354,THEFT OF IDENTITY,32,F,O,501,SINGLE FAMILY DWELLING,600,NO WEAPON
200317571,09/19/2020 12:00:00 AM,3,Southwest,353,210,ROBBERY,23,M,B,101,STREET,102,HAND GUN
200514277,09/17/2020 12:00:00 AM,5,Harbor,558,901,VIOLATION OF RESTRAINING ORDER,46,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",600,NO WEAPON
200104268,4/1/2020,1,Central,111,624,BATTERY - SIMPLE ASSAULT,40,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104269,4/1/2020,1,Central,156,624,BATTERY - SIMPLE ASSAULT,57,F,O,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON
200104270,4/1/2020,1,Central,195,330,BURGLARY FROM VEHICLE,32,M,H,108,PARKING LOT,600,NO WEAPON
200816200,7/11/2020,8,West LA,849,886,DISTURBING THE PEACE,58,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",600,NO WEAPON
201821270,11/28/2020 12:00:00 AM,18,Southeast,1826,901,VIOLATION OF RESTRAINING ORDER,25,F,H,501,SINGLE FAMILY DWELLING,515,PHYSICAL PRESENCE
200104276,2/1/2020,1,Central,119,440,THEFT PLAIN - PETTY ($950 & UNDER),18,M,H,834,LA UNION STATION (NOT LINE SPECIFIC),600,NO WEAPON
200104277,4/1/2020,1,Central,159,330,BURGLARY FROM VEHICLE,25,M,O,101,STREET,600,NO WEAPON
200104281,4/1/2020,1,Central,156,440,THEFT PLAIN - PETTY ($950 & UNDER),37,F,W,517,MISSIONS/SHELTERS,600,NO WEAPON
200400694,03/26/2020 12:00:00 AM,4,Hollenbeck,422,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",23,M,H,102,SIDEWALK,102,HAND GUN
200104284,4/1/2020,1,Central,145,888,TRESPASSING,67,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",600,NO WEAPON
200104285,5/1/2020,1,Central,164,624,BATTERY - SIMPLE ASSAULT,26,M,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104286,4/1/2020,1,Central,162,330,BURGLARY FROM VEHICLE,47,M,H,707,GARAGE/CARPORT,600,NO WEAPON
200104287,4/1/2020,1,Central,119,624,BATTERY - SIMPLE ASSAULT,21,F,H,834,LA UNION STATION (NOT LINE SPECIFIC),400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
200104289,3/1/2020,1,Central,164,440,THEFT PLAIN - PETTY ($950 & UNDER),26,F,C,735,NIGHT CLUB (OPEN EVENINGS ONLY),600,NO WEAPON
